Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2000,EG_ELC_ACCS,PT,_T,100.0
2001,EG_ELC_ACCS,PT,_T,99.4
2002,EG_ELC_ACCS,PT,_T,98.5
2003,EG_ELC_ACCS,PT,_T,100.0
2004,EG_ELC_ACCS,PT,_T,100.0
2005,EG_ELC_ACCS,PT,_T,100.0
2006,EG_ELC_ACCS,PT,_T,99.38728
2007,EG_ELC_ACCS,PT,_T,99.7
2008,EG_ELC_ACCS,PT,_T,100.0
2009,EG_ELC_ACCS,PT,_T,100.0
2010,EG_ELC_ACCS,PT,_T,100.0
2011,EG_ELC_ACCS,PT,_T,99.70578
2012,EG_ELC_ACCS,PT,_T,100.0
2013,EG_ELC_ACCS,PT,_T,100.0
2014,EG_ELC_ACCS,PT,_T,100.0
2015,EG_ELC_ACCS,PT,_T,100.0
2016,EG_ELC_ACCS,PT,_T,100.0
2017,EG_ELC_ACCS,PT,_T,100.0
2000,EG_ELC_ACCS,PT,R,100.0
2001,EG_ELC_ACCS,PT,R,100.0
2002,EG_ELC_ACCS,PT,R,97.89615
2003,EG_ELC_ACCS,PT,R,100.0
2004,EG_ELC_ACCS,PT,R,100.0
2005,EG_ELC_ACCS,PT,R,100.0
2006,EG_ELC_ACCS,PT,R,99.12706
2007,EG_ELC_ACCS,PT,R,100.0
2008,EG_ELC_ACCS,PT,R,100.0
2009,EG_ELC_ACCS,PT,R,100.0
2010,EG_ELC_ACCS,PT,R,100.0
2011,EG_ELC_ACCS,PT,R,100.0
2012,EG_ELC_ACCS,PT,R,100.0
2013,EG_ELC_ACCS,PT,R,100.0
2014,EG_ELC_ACCS,PT,R,100.0
2015,EG_ELC_ACCS,PT,R,100.0
2016,EG_ELC_ACCS,PT,R,100.0
2017,EG_ELC_ACCS,PT,R,100.0
2000,EG_ELC_ACCS,PT,U,100.0
2001,EG_ELC_ACCS,PT,U,100.0
2002,EG_ELC_ACCS,PT,U,99.3
2003,EG_ELC_ACCS,PT,U,100.0
2004,EG_ELC_ACCS,PT,U,100.0
2005,EG_ELC_ACCS,PT,U,100.0
2006,EG_ELC_ACCS,PT,U,99.71469
2007,EG_ELC_ACCS,PT,U,100.0
2008,EG_ELC_ACCS,PT,U,100.0
2009,EG_ELC_ACCS,PT,U,100.0
2010,EG_ELC_ACCS,PT,U,100.0
2011,EG_ELC_ACCS,PT,U,99.76393
2012,EG_ELC_ACCS,PT,U,100.0
2013,EG_ELC_ACCS,PT,U,100.0
2014,EG_ELC_ACCS,PT,U,100.0
2015,EG_ELC_ACCS,PT,U,100.0
2016,EG_ELC_ACCS,PT,U,100.0
2017,EG_ELC_ACCS,PT,U,100.0
